State,Year,Cases,Real_Population,Cases_Per_100k,Cases_Per_10k,Cases_Per_1k
TERENGGANU,2002,1176,936600.0,125.56053811659191,12.556053811659194,1.2556053811659194
KELANTAN,2002,1778,1416700.0,125.50292934283898,12.550292934283899,1.2550292934283898
SARAWAK,2002,994,2158300.0,46.054765324561,4.6054765324561,0.46054765324561
SABAH,2002,382,2719100.0,14.048766135853777,1.4048766135853774,0.14048766135853774
LABUAN,2002,0,77800.0,0.0,0.0,0.0
PERLIS,2003,148,216000.0,68.51851851851852,6.851851851851851,0.6851851851851851
KEDAH,2003,1278,1763700.0,72.46130294267732,7.246130294267732,0.7246130294267732
PULAU PINANG,2003,746,1412200.0,52.82537884152386,5.282537884152386,0.5282537884152386
PERAK,2003,4418,2192100.0,201.5419004607454,20.154190046074543,2.015419004607454
SELANGOR,2003,6769,4577300.0,147.88193913442424,14.788193913442424,1.4788193913442422
WPKL/PUTRAJAYA,2003,5629,1500500.0,375.14161946018,37.51416194601799,3.7514161946017994
N.SEMBILAN,2003,2032,916800.0,221.64048865619543,22.164048865619545,2.2164048865619543
MELAKA,2003,632,701800.0,90.05414648047876,9.005414648047877,0.9005414648047877
JOHOR,2003,3249,2954000.0,109.98645903859172,10.998645903859174,1.0998645903859174
PAHANG,2003,1487,1360000.0,109.33823529411764,10.933823529411764,1.0933823529411764
TERENGGANU,2003,833,951400.0,87.55518183729241,8.755518183729242,0.8755518183729242
KELANTAN,2003,2676,1440500.0,185.7688302672683,18.57688302672683,1.8576883026726831
SARAWAK,2003,856,2199000.0,38.926784902228285,3.8926784902228286,0.3892678490222829
SABAH,2003,792,2774000.0,28.550829127613557,2.8550829127613557,0.28550829127613553
LABUAN,2003,0,78700.0,0.0,0.0,0.0
PERLIS,2004,398,218800.0,181.90127970749543,18.190127970749543,1.8190127970749543
KEDAH,2004,1742,1792400.0,97.18812765007812,9.718812765007812,0.9718812765007812
PULAU PINANG,2004,1767,1436600.0,122.99874704162605,12.299874704162605,1.2299874704162606
PERAK,2004,3108,2222100.0,139.86769272309976,13.986769272309976,1.3986769272309976
SELANGOR,2004,9189,4712800.0,194.97962994398236,19.497962994398232,1.9497962994398235
WPKL/PUTRAJAYA,2004,6288,1526400.0,411.9496855345912,41.19496855345911,4.119496855345911
N.SEMBILAN,2004,1584,933700.0,169.64763842776054,16.964763842776055,1.6964763842776054
MELAKA,2004,865,719800.0,120.17227007502083,12.017227007502084,1.2017227007502085
JOHOR,2004,3056,3014600.0,101.37331652623897,10.137331652623896,1.0137331652623898
PAHANG,2004,1597,1380200.0,115.70786842486596,11.570786842486596,1.1570786842486596
TERENGGANU,2004,1103,966600.0,114.11131802193252,11.411131802193253,1.1411131802193253
KELANTAN,2004,1682,1463800.0,114.90640797923214,11.490640797923215,1.1490640797923215
SARAWAK,2004,568,2240400.0,25.35261560435637,2.5352615604356368,0.25352615604356366
SABAH,2004,930,2833400.0,32.822757111597376,3.2822757111597376,0.3282275711159737
LABUAN,2004,18,79700.0,22.58469259723965,2.258469259723965,0.22584692597239647
PERLIS,2005,324,221600.0,146.20938628158845,14.620938628158845,1.4620938628158846
KEDAH,2005,1862,1820300.0,102.29083118167335,10.229083118167337,1.0229083118167335
PULAU PINANG,2005,3527,1460400.0,241.5091755683374,24.150917556833743,2.4150917556833744
PERAK,2005,3082,2251100.0,136.9108435875794,13.691084358757939,1.369108435875794
SELANGOR,2005,12705,4849600.0,261.98036951501155,26.198036951501155,2.6198036951501154
WPKL/PUTRAJAYA,2005,5680,1551800.0,366.02654981312025,36.60265498131202,3.6602654981312024
N.SEMBILAN,2005,1379,950300.0,145.11206987267178,14.51120698726718,1.451120698726718
MELAKA,2005,909,737300.0,123.2876712328767,12.32876712328767,1.2328767123287672
JOHOR,2005,2974,3074400.0,96.7343221441582,9.673432214415822,0.9673432214415821
PAHANG,2005,1823,1400800.0,130.13992004568817,13.013992004568818,1.3013992004568817
TERENGGANU,2005,747,981400.0,76.11575300590992,7.611575300590992,0.7611575300590991
KELANTAN,2005,1326,1486300.0,89.21482876942744,8.921482876942743,0.8921482876942743
