TAHUN,KUMPULAN UMUR,State,Cases,Age_Sort_Order,Age_Category
2019,55-59,NEGERI SEMBILAN,110,12,40-59
2019,60-64,NEGERI SEMBILAN,95,13,>59
2019,65-69,NEGERI SEMBILAN,68,14,>59
2019,70-74,NEGERI SEMBILAN,37,15,>59
2019,>75,NEGERI SEMBILAN,28,16,>59
2020,0-4,NEGERI SEMBILAN,128,1,0-19
2020,5-9,NEGERI SEMBILAN,134,2,0-19
2020,10-14,NEGERI SEMBILAN,218,3,0-19
2020,15-19,NEGERI SEMBILAN,281,4,0-19
2020,20-24,NEGERI SEMBILAN,330,5,20-39
2020,25-29,NEGERI SEMBILAN,292,6,20-39
2020,30-34,NEGERI SEMBILAN,304,7,20-39
2020,35-39,NEGERI SEMBILAN,285,8,20-39
2020,40-44,NEGERI SEMBILAN,198,9,40-59
2020,45-49,NEGERI SEMBILAN,155,10,40-59
2020,50-54,NEGERI SEMBILAN,145,11,40-59
2020,55-59,NEGERI SEMBILAN,149,12,40-59
2020,60-64,NEGERI SEMBILAN,113,13,>59
2020,65-69,NEGERI SEMBILAN,68,14,>59
2020,70-74,NEGERI SEMBILAN,45,15,>59
2020,>75,NEGERI SEMBILAN,46,16,>59
2021,0-4,NEGERI SEMBILAN,37,1,0-19
2021,5-9,NEGERI SEMBILAN,35,2,0-19
2021,10-14,NEGERI SEMBILAN,36,3,0-19
2021,15-19,NEGERI SEMBILAN,56,4,0-19
2021,20-24,NEGERI SEMBILAN,72,5,20-39
2021,25-29,NEGERI SEMBILAN,73,6,20-39
2021,30-34,NEGERI SEMBILAN,54,7,20-39
2021,35-39,NEGERI SEMBILAN,43,8,20-39
2021,40-44,NEGERI SEMBILAN,47,9,40-59
2021,45-49,NEGERI SEMBILAN,33,10,40-59
2021,50-54,NEGERI SEMBILAN,41,11,40-59
2021,55-59,NEGERI SEMBILAN,33,12,40-59
2021,60-64,NEGERI SEMBILAN,30,13,>59
2021,65-69,NEGERI SEMBILAN,22,14,>59
2021,70-74,NEGERI SEMBILAN,14,15,>59
2021,>75,NEGERI SEMBILAN,23,16,>59
2018,0-4,PAHANG,74,1,0-19
2018,5-9,PAHANG,73,2,0-19
2018,10-14,PAHANG,92,3,0-19
2018,15-19,PAHANG,101,4,0-19
2018,20-24,PAHANG,108,5,20-39
2018,25-29,PAHANG,89,6,20-39
2018,30-34,PAHANG,86,7,20-39
2018,35-39,PAHANG,75,8,20-39
2018,40-44,PAHANG,54,9,40-59
2018,45-49,PAHANG,51,10,40-59
2018,50-54,PAHANG,51,11,40-59
2018,55-59,PAHANG,42,12,40-59
2018,60-64,PAHANG,44,13,>59
2018,65-69,PAHANG,25,14,>59
2018,70-74,PAHANG,12,15,>59
2018,>75,PAHANG,13,16,>59
2019,0-4,PAHANG,135,1,0-19
2019,5-9,PAHANG,179,2,0-19
2019,10-14,PAHANG,232,3,0-19
2019,15-19,PAHANG,330,4,0-19
2019,20-24,PAHANG,273,5,20-39
2019,25-29,PAHANG,306,6,20-39
2019,30-34,PAHANG,286,7,20-39
2019,35-39,PAHANG,218,8,20-39
2019,40-44,PAHANG,170,9,40-59
2019,45-49,PAHANG,175,10,40-59
2019,50-54,PAHANG,164,11,40-59
2019,55-59,PAHANG,130,12,40-59
2019,60-64,PAHANG,106,13,>59
2019,65-69,PAHANG,89,14,>59
2019,70-74,PAHANG,39,15,>59
2019,>75,PAHANG,41,16,>59
2020,0-4,PAHANG,108,1,0-19
2020,5-9,PAHANG,174,2,0-19
2020,10-14,PAHANG,287,3,0-19
2020,15-19,PAHANG,318,4,0-19
2020,20-24,PAHANG,395,5,20-39
2020,25-29,PAHANG,344,6,20-39
2020,30-34,PAHANG,361,7,20-39
2020,35-39,PAHANG,249,8,20-39
2020,40-44,PAHANG,189,9,40-59
2020,45-49,PAHANG,174,10,40-59
2020,50-54,PAHANG,160,11,40-59
2020,55-59,PAHANG,153,12,40-59
2020,60-64,PAHANG,144,13,>59
2020,65-69,PAHANG,85,14,>59
2020,70-74,PAHANG,48,15,>59
2020,>75,PAHANG,31,16,>59
2021,0-4,PAHANG,23,1,0-19
2021,5-9,PAHANG,21,2,0-19
2021,10-14,PAHANG,21,3,0-19
2021,15-19,PAHANG,37,4,0-19
2021,20-24,PAHANG,42,5,20-39
2021,25-29,PAHANG,40,6,20-39
2021,30-34,PAHANG,45,7,20-39
2021,35-39,PAHANG,34,8,20-39
2021,40-44,PAHANG,35,9,40-59
2021,45-49,PAHANG,30,10,40-59
2021,50-54,PAHANG,18,11,40-59
2021,55-59,PAHANG,21,12,40-59
2021,60-64,PAHANG,21,13,>59
2021,65-69,PAHANG,12,14,>59
2021,70-74,PAHANG,12,15,>59
2021,>75,PAHANG,16,16,>59
2018,0-4,PERAK,128,1,0-19
2018,5-9,PERAK,171,2,0-19
2018,10-14,PERAK,241,3,0-19
2018,15-19,PERAK,289,4,0-19
2018,20-24,PERAK,244,5,20-39
2018,25-29,PERAK,254,6,20-39
2018,30-34,PERAK,250,7,20-39
2018,35-39,PERAK,195,8,20-39
2018,40-44,PERAK,151,9,40-59
2018,45-49,PERAK,142,10,40-59
2018,50-54,PERAK,162,11,40-59
2018,55-59,PERAK,164,12,40-59
2018,60-64,PERAK,113,13,>59
2018,65-69,PERAK,89,14,>59
2018,70-74,PERAK,55,15,>59
2018,>75,PERAK,88,16,>59
2019,0-4,PERAK,240,1,0-19
2019,5-9,PERAK,175,2,0-19
2019,10-14,PERAK,229,3,0-19
2019,15-19,PERAK,304,4,0-19
2019,20-24,PERAK,293,5,20-39
2019,25-29,PERAK,279,6,20-39
2019,30-34,PERAK,281,7,20-39
2019,35-39,PERAK,222,8,20-39
2019,40-44,PERAK,184,9,40-59
2019,45-49,PERAK,181,10,40-59
2019,50-54,PERAK,191,11,40-59
2019,55-59,PERAK,183,12,40-59
2019,60-64,PERAK,169,13,>59
2019,65-69,PERAK,123,14,>59
2019,70-74,PERAK,89,15,>59
2019,>75,PERAK,83,16,>59
2020,0-4,PERAK,95,1,0-19
2020,5-9,PERAK,111,2,0-19
2020,10-14,PERAK,160,3,0-19
2020,15-19,PERAK,207,4,0-19
2020,20-24,PERAK,225,5,20-39
2020,25-29,PERAK,246,6,20-39
2020,30-34,PERAK,231,7,20-39
2020,35-39,PERAK,216,8,20-39
2020,40-44,PERAK,163,9,40-59
2020,45-49,PERAK,150,10,40-59
2020,50-54,PERAK,141,11,40-59
2020,55-59,PERAK,161,12,40-59
2020,60-64,PERAK,170,13,>59
2020,65-69,PERAK,158,14,>59
2020,70-74,PERAK,106,15,>59
2020,>75,PERAK,125,16,>59
2021,0-4,PERAK,30,1,0-19
2021,5-9,PERAK,14,2,0-19
2021,10-14,PERAK,18,3,0-19
2021,15-19,PERAK,37,4,0-19
2021,20-24,PERAK,34,5,20-39
2021,25-29,PERAK,40,6,20-39
2021,30-34,PERAK,46,7,20-39
2021,35-39,PERAK,39,8,20-39
2021,40-44,PERAK,33,9,40-59
2021,45-49,PERAK,35,10,40-59
2021,50-54,PERAK,31,11,40-59
2021,55-59,PERAK,43,12,40-59
2021,60-64,PERAK,52,13,>59
2021,65-69,PERAK,33,14,>59
2021,70-74,PERAK,34,15,>59
2021,>75,PERAK,38,16,>59
2018,0-4,PERLIS,14,1,0-19
2018,5-9,PERLIS,19,2,0-19
2018,10-14,PERLIS,39,3,0-19
2018,15-19,PERLIS,50,4,0-19
2018,20-24,PERLIS,39,5,20-39
2018,25-29,PERLIS,41,6,20-39
2018,30-34,PERLIS,29,7,20-39
2018,35-39,PERLIS,35,8,20-39
2018,40-44,PERLIS,22,9,40-59
2018,45-49,PERLIS,21,10,40-59
2018,50-54,PERLIS,17,11,40-59
2018,55-59,PERLIS,18,12,40-59
2018,60-64,PERLIS,10,13,>59
2018,65-69,PERLIS,9,14,>59
2018,70-74,PERLIS,4,15,>59
2018,>75,PERLIS,2,16,>59
2019,0-4,PERLIS,15,1,0-19
2019,5-9,PERLIS,13,2,0-19
2019,10-14,PERLIS,31,3,0-19
2019,15-19,PERLIS,29,4,0-19
2019,20-24,PERLIS,38,5,20-39
2019,25-29,PERLIS,31,6,20-39
2019,30-34,PERLIS,26,7,20-39
2019,35-39,PERLIS,14,8,20-39
2019,40-44,PERLIS,11,9,40-59
2019,45-49,PERLIS,21,10,40-59
2019,50-54,PERLIS,12,11,40-59
2019,55-59,PERLIS,19,12,40-59
2019,60-64,PERLIS,10,13,>59
2019,65-69,PERLIS,7,14,>59
2019,70-74,PERLIS,4,15,>59
2019,>75,PERLIS,7,16,>59
2020,0-4,PERLIS,2,1,0-19
2020,5-9,PERLIS,6,2,0-19
2020,10-14,PERLIS,5,3,0-19
2020,15-19,PERLIS,7,4,0-19
2020,20-24,PERLIS,10,5,20-39
2020,25-29,PERLIS,6,6,20-39
2020,30-34,PERLIS,5,7,20-39
2020,35-39,PERLIS,6,8,20-39
2020,40-44,PERLIS,4,9,40-59
2020,45-49,PERLIS,7,10,40-59
2020,50-54,PERLIS,8,11,40-59
2020,55-59,PERLIS,5,12,40-59
2020,60-64,PERLIS,4,13,>59
2020,65-69,PERLIS,3,14,>59
2020,70-74,PERLIS,1,15,>59
2020,>75,PERLIS,1,16,>59
2021,0-4,PERLIS,0,1,0-19
2021,5-9,PERLIS,0,2,0-19
2021,10-14,PERLIS,0,3,0-19
2021,15-19,PERLIS,2,4,0-19
2021,20-24,PERLIS,1,5,20-39
2021,25-29,PERLIS,2,6,20-39
2021,30-34,PERLIS,2,7,20-39
2021,35-39,PERLIS,5,8,20-39
2021,40-44,PERLIS,2,9,40-59
2021,45-49,PERLIS,1,10,40-59
2021,50-54,PERLIS,3,11,40-59
2021,55-59,PERLIS,1,12,40-59
2021,60-64,PERLIS,1,13,>59
2021,65-69,PERLIS,0,14,>59
2021,70-74,PERLIS,1,15,>59
2021,>75,PERLIS,0,16,>59
2018,0-4,PULAU PINANG,282,1,0-19
2018,5-9,PULAU PINANG,286,2,0-19
2018,10-14,PULAU PINANG,427,3,0-19
2018,15-19,PULAU PINANG,553,4,0-19
2018,20-24,PULAU PINANG,631,5,20-39
2018,25-29,PULAU PINANG,624,6,20-39
2018,30-34,PULAU PINANG,614,7,20-39
2018,35-39,PULAU PINANG,507,8,20-39
2018,40-44,PULAU PINANG,480,9,40-59
2018,45-49,PULAU PINANG,414,10,40-59
2018,50-54,PULAU PINANG,362,11,40-59
2018,55-59,PULAU PINANG,299,12,40-59
2018,60-64,PULAU PINANG,217,13,>59
2018,65-69,PULAU PINANG,186,14,>59
2018,70-74,PULAU PINANG,99,15,>59
2018,>75,PULAU PINANG,90,16,>59
2019,0-4,PULAU PINANG,184,1,0-19
2019,5-9,PULAU PINANG,175,2,0-19
2019,10-14,PULAU PINANG,299,3,0-19
2019,15-19,PULAU PINANG,359,4,0-19
2019,20-24,PULAU PINANG,439,5,20-39
2019,25-29,PULAU PINANG,438,6,20-39
2019,30-34,PULAU PINANG,367,7,20-39
2019,35-39,PULAU PINANG,387,8,20-39
2019,40-44,PULAU PINANG,330,9,40-59
2019,45-49,PULAU PINANG,278,10,40-59
2019,50-54,PULAU PINANG,235,11,40-59
2019,55-59,PULAU PINANG,207,12,40-59
2019,60-64,PULAU PINANG,181,13,>59
2019,65-69,PULAU PINANG,110,14,>59
2019,70-74,PULAU PINANG,61,15,>59
2019,>75,PULAU PINANG,69,16,>59
2020,0-4,PULAU PINANG,31,1,0-19
2020,5-9,PULAU PINANG,30,2,0-19
2020,10-14,PULAU PINANG,41,3,0-19
2020,15-19,PULAU PINANG,55,4,0-19
2020,20-24,PULAU PINANG,80,5,20-39
2020,25-29,PULAU PINANG,85,6,20-39
2020,30-34,PULAU PINANG,70,7,20-39
2020,35-39,PULAU PINANG,65,8,20-39
2020,40-44,PULAU PINANG,80,9,40-59
2020,45-49,PULAU PINANG,58,10,40-59
2020,50-54,PULAU PINANG,77,11,40-59
2020,55-59,PULAU PINANG,83,12,40-59
2020,60-64,PULAU PINANG,88,13,>59
2020,65-69,PULAU PINANG,64,14,>59
2020,70-74,PULAU PINANG,49,15,>59
2020,>75,PULAU PINANG,87,16,>59
2021,0-4,PULAU PINANG,25,1,0-19
2021,5-9,PULAU PINANG,9,2,0-19
2021,10-14,PULAU PINANG,12,3,0-19
2021,15-19,PULAU PINANG,12,4,0-19
2021,20-24,PULAU PINANG,29,5,20-39
2021,25-29,PULAU PINANG,31,6,20-39
2021,30-34,PULAU PINANG,31,7,20-39
2021,35-39,PULAU PINANG,23,8,20-39
2021,40-44,PULAU PINANG,24,9,40-59
2021,45-49,PULAU PINANG,18,10,40-59
2021,50-54,PULAU PINANG,26,11,40-59
2021,55-59,PULAU PINANG,25,12,40-59
2021,60-64,PULAU PINANG,27,13,>59
2021,65-69,PULAU PINANG,32,14,>59
2021,70-74,PULAU PINANG,32,15,>59
2021,>75,PULAU PINANG,50,16,>59
2018,0-4,SABAH,307,1,0-19
2018,5-9,SABAH,453,2,0-19
2018,10-14,SABAH,475,3,0-19
2018,15-19,SABAH,443,4,0-19
2018,20-24,SABAH,339,5,20-39
2018,25-29,SABAH,283,6,20-39
2018,30-34,SABAH,238,7,20-39
2018,35-39,SABAH,185,8,20-39
2018,40-44,SABAH,133,9,40-59
2018,45-49,SABAH,128,10,40-59
2018,50-54,SABAH,116,11,40-59
2018,55-59,SABAH,95,12,40-59
2018,60-64,SABAH,86,13,>59
2018,65-69,SABAH,66,14,>59
2018,70-74,SABAH,25,15,>59
2018,>75,SABAH,51,16,>59
2019,0-4,SABAH,635,1,0-19
2019,5-9,SABAH,680,2,0-19
2019,10-14,SABAH,693,3,0-19
2019,15-19,SABAH,604,4,0-19
2019,20-24,SABAH,525,5,20-39
2019,25-29,SABAH,508,6,20-39
2019,30-34,SABAH,377,7,20-39
2019,35-39,SABAH,307,8,20-39
2019,40-44,SABAH,211,9,40-59
2019,45-49,SABAH,205,10,40-59
2019,50-54,SABAH,176,11,40-59
2019,55-59,SABAH,169,12,40-59
2019,60-64,SABAH,132,13,>59
2019,65-69,SABAH,98,14,>59
2019,70-74,SABAH,59,15,>59
2019,>75,SABAH,99,16,>59
2020,0-4,SABAH,317,1,0-19
2020,5-9,SABAH,454,2,0-19
2020,10-14,SABAH,494,3,0-19
2020,15-19,SABAH,484,4,0-19
2020,20-24,SABAH,366,5,20-39
2020,25-29,SABAH,365,6,20-39
2020,30-34,SABAH,307,7,20-39
2020,35-39,SABAH,251,8,20-39
2020,40-44,SABAH,182,9,40-59
2020,45-49,SABAH,167,10,40-59
2020,50-54,SABAH,190,11,40-59
2020,55-59,SABAH,152,12,40-59
2020,60-64,SABAH,126,13,>59
2020,65-69,SABAH,84,14,>59
2020,70-74,SABAH,59,15,>59
2020,>75,SABAH,80,16,>59
2021,0-4,SABAH,135,1,0-19
2021,5-9,SABAH,123,2,0-19
2021,10-14,SABAH,158,3,0-19
2021,15-19,SABAH,142,4,0-19
2021,20-24,SABAH,148,5,20-39
2021,25-29,SABAH,158,6,20-39
2021,30-34,SABAH,182,7,20-39
2021,35-39,SABAH,116,8,20-39
2021,40-44,SABAH,96,9,40-59
2021,45-49,SABAH,84,10,40-59
2021,50-54,SABAH,96,11,40-59
2021,55-59,SABAH,85,12,40-59
2021,60-64,SABAH,79,13,>59
2021,65-69,SABAH,53,14,>59
2021,70-74,SABAH,44,15,>59
2021,>75,SABAH,64,16,>59
